"driverref","avg_position"
"iglesias",10.0000000000000000
"gamble",10.0000000000000000
"reutemann",10.0000000000000000
"piquet",10.0241545893719807
"revson",10.1290322580645161
"ligier",10.1538461538461538
"hall",10.1666666666666667
"levegh",10.1666666666666667
"hill",10.1675977653631285
"giunti",10.2500000000000000
"villeneuve",10.2545454545454545
"mieres",10.2941176470588235
"mcgrath",10.3333333333333333
"barrichello",10.3343558282208589
"surtees",10.3392857142857143
"bonetto",10.3529411764705882
"elford",10.3846153846153846
"maglioli",10.4000000000000000
"etancelin",10.4166666666666667
"ruby",10.5000000000000000
"menditeguy",10.5000000000000000
"rosier",10.6410256410256410
"kubica",10.6464646464646465
"behra",10.6666666666666667
"portago",10.6666666666666667
"heidfeld",10.7228260869565217
"ocon",10.7235772357723577
"courage",10.7586206896551724
"sanesi",10.8000000000000000
"taylor",10.8000000000000000
"siffert",10.8000000000000000
"brooks",10.8536585365853659
"reg_parnell",10.8571428571428571
"allison",10.8888888888888889
"gilles_villeneuve",10.8970588235294118
"frere",10.9090909090909091
"lauda",10.9137931034482759
"berger",10.9142857142857143
"gavin",10.9166666666666667
"attwood",10.9411764705882353
"fisichella",10.9913419913419913
"beauman",11.0000000000000000
"jimmy_stewart",11.0000000000000000
"klenk",11.0000000000000000
"bonomi",11.0000000000000000
"lawrence",11.0000000000000000
"downing",11.0000000000000000
"mackay-fraser",11.0000000000000000
"fohr",11.0000000000000000
"tunmer",11.0000000000000000
"hasemi",11.0000000000000000
"harrison",11.0000000000000000
"irvine",11.0068027210884354
"schell",11.0312500000000000
"anderson",11.0384615384615385
"albon",11.0422535211267606
"collins",11.0810810810810811
"frentzen",11.0817610062893082
"gasly",11.0916666666666667
"irwin",11.1000000000000000
"emerson_fittipaldi",11.1006711409395973
"depailler",11.1052631578947368
"regazzoni",11.1666666666666667
"faulkner",11.2000000000000000
"godia",11.2142857142857143
"hanks",11.2222222222222222
"mansell",11.2447916666666667
"pironi",11.2500000000000000
"klerk",11.2500000000000000
"alesi",11.2524752475247525
"guy_mairesse",11.3333333333333333
"trintignant",11.3333333333333333
"peterson",11.3577235772357724
"ickx",11.3884297520661157
"jones",11.4017094017094017
"wurz",11.4202898550724638
"arundell",11.4666666666666667
"hunt",11.5376344086021505
"cabantous",11.5384615384615385
"sommer",11.6000000000000000
"watson",11.6493506493506494
"sharp",11.6666666666666667
"beltoise",11.6666666666666667
"rathmann",11.6666666666666667
"russell",11.7021276595744681
"scarfiotti",11.8461538461538462
"hulkenberg",11.8469387755102041
"resta",11.8474576271186441
"parkes",11.8571428571428571
"gerini",11.8571428571428571
"gendebien",11.8823529411764706
"bondurant",11.8888888888888889
"shelby",11.8888888888888889
"panis",11.9113924050632911
"boutsen",11.9390243902439024
"pryce",11.9523809523809524
"bonnier",11.9541284403669725
"angelis",11.9818181818181818
"bueno",12.0000000000000000
"rigsby",12.0000000000000000
"hawkins",12.0000000000000000
"ashdown",12.0000000000000000
"lof",12.0000000000000000
"fontana",12.0000000000000000
"mccoy",12.0000000000000000
"graham_whitehead",12.0000000000000000
"bira",12.0526315789473684
"ireland",12.0727272727272727
"salo",12.0900900900900901
"matta",12.1071428571428571
"amon",12.1320754716981132
"laffite",12.1611111111111111
"ricardo_rodriguez",12.1666666666666667
"stroll",12.2164179104477612
"graffenried",12.2173913043478261
"kvyat",12.2232142857142857
"ayulo",12.2500000000000000
"trulli",12.3593750000000000
"veith",12.4000000000000000
"beaufort",12.4193548387096774
"paul_russo",12.4444444444444444
"hampshire",12.5000000000000000
"crossley",12.5000000000000000
"bristow",12.5000000000000000
"mario_andretti",12.5116279069767442
"brundle",12.5515151515151515
"wharton",12.6250000000000000
"goldsmith",12.6666666666666667
"orey",12.6666666666666667
"piastri",12.6666666666666667
"boullion",12.7272727272727273
"patrese",12.7276264591439689
"kiesa",12.8000000000000000
"landi",12.8333333333333333
"marimon",12.8333333333333333
"davies",12.8333333333333333
"bueb",12.8333333333333333
"swaters",12.8571428571428571
"lennep",12.8888888888888889
"pizzonia",12.9000000000000000
"herbert",12.9030303030303030
"herrmann",12.9500000000000000
"flinterman",13.0000000000000000
"toshio_suzuki",13.0000000000000000
"mazet",13.0000000000000000
"drake",13.0000000000000000
"widdows",13.0000000000000000
"green",13.0000000000000000
"daponte",13.0000000000000000
"scotti",13.0000000000000000
"cabianca",13.0000000000000000
"fittipaldi",13.0465116279069767
"gregory",13.0652173913043478
"mairesse",13.0833333333333333
"nakajima",13.0833333333333333
"love",13.1000000000000000
"brise",13.1000000000000000
"ramos",13.1250000000000000
"surer",13.1363636363636364
"stacey",13.1428571428571429
"grosjean",13.1436464088397790
"salvadori",13.1568627450980392
"vandoorne",13.1904761904761905
"pollet",13.2000000000000000
"pace",13.2191780821917808
"bucknum",13.2727272727272727
"kovalainen",13.2857142857142857
"tambay",13.2950819672131148
"hailwood",13.3137254901960784
"keizan",13.3333333333333333
"simon",13.3333333333333333
"keke_rosberg",13.3593750000000000
"piquet_jr",13.3928571428571429
